x,y,loop,result
15,9,1,15
15,9,2,9
15,9,3,27
15,9,4,5
15,9,5,21
15,9,6,27
15,9,7,19
15,9,8,15
15,9,9,21
15,9,10,27
15,9,11,21
15,9,12,13
15,9,13,27
15,9,14,13
15,9,15,15
15,9,16,4
15,9,17,5
15,9,18,12
15,9,19,15
15,9,20,27
15,9,21,4
15,9,22,5
15,9,23,27
15,9,24,1
15,9,25,16
15,9,26,18
15,9,27,5
15,9,28,14
15,9,29,4
15,9,30,9
15,9,31,26
15,9,32,1
15,9,33,4
15,9,34,15
15,9,35,27
15,9,36,4
15,9,37,5
15,9,38,27
15,9,39,13
15,9,40,1
15,9,41,17
15,9,42,21
15,9,43,9
15,9,44,14
15,9,45,1
15,9,46,27
15,9,47,16
15,9,48,1
15,9,49,18
15,9,50,1
15,9,51,27
15,9,52,18
15,9,53,5
15,9,54,19
15,9,55,16
15,9,56,15
15,9,57,14
15,9,58,4
15,9,59,5
15,9,60,18
15,9,61,27
15,9,62,16
15,9,63,5
15,9,64,18
15,9,65,7
15,9,66,21
15,9,67,14
15,9,68,20
15,9,69,1
15,9,70,19
15,9,71,27
15,9,72,19
15,9,73,9
15,9,74,13
15,9,75,16
15,9,76,12
15,9,77,5
15,9,78,19
